type,catégorie,montant,mois
dépense,autres_charges,269.87,1
dépense,autres_charges,165.32,1
dépense,autres_charges,320.95,1
dépense,autres_charges,259.87,1
dépense,autres_charges,100.52,1
dépense,autres_charges,322.11,1
dépense,autres_charges,116.54,1
dépense,autres_charges,100.21,1
dépense,autres_charges,293.05,1
dépense,autres_charges,255.05,1
dépense,autres_charges,216.2,1
dépense,autres_charges,143.23,1
dépense,autres_charges,191.39,1
dépense,autres_charges,181.38,1
dépense,autres_charges,254.0,1
dépense,autres_charges,174.68,1
dépense,autres_charges,160.82,1
dépense,autres_charges,267.82,1
dépense,autres_charges,197.31,1
dépense,autres_charges,139.49,1
dépense,autres_charges,161.99,1
dépense,autres_charges,117.89,1
dépense,autres_charges,333.7,1
dépense,autres_charges,175.06,1
dépense,autres_charges,255.24,1
dépense,autres_charges,230.02,1
dépense,autres_charges,270.95,1
dépense,autres_charges,274.61,1
dépense,déplacements,833.23,1
dépense,déplacements,826.61,1
dépense,déplacements,833.73,1
dépense,déplacements,950.67,1
dépense,déplacements,434.65,1
dépense,déplacements,599.13,1
dépense,déplacements,368.27,1
dépense,déplacements,1079.4,1
dépense,déplacements,1238.19,1
dépense,déplacements,200.4,1
dépense,déplacements,1059.21,1
dépense,déplacements,667.3,1
dépense,fonctionnement,57.07,1
dépense,fonctionnement,454.82,1
dépense,fonctionnement,446.94,1
dépense,fonctionnement,369.22,1
dépense,fonctionnement,305.47,1
dépense,fonctionnement,300.39,1
dépense,fonctionnement,95.05,1
dépense,fonctionnement,134.81,1
dépense,fonctionnement,37.17,1
dépense,fonctionnement,510.19,1
dépense,fonctionnement,88.59,1
dépense,fonctionnement,166.08,1
dépense,fonctionnement,74.38,1
dépense,fonctionnement,227.28,1
dépense,fonctionnement,501.34,1
dépense,fonctionnement,131.06,1
dépense,fonctionnement,559.29,1
dépense,fonctionnement,532.64,1
dépense,fonctionnement,257.45,1
dépense,fonctionnement,543.58,1
dépense,fonctionnement,10.48,1
dépense,fonctionnement,313.69,1
dépense,fonctionnement,490.94,1
dépense,fonctionnement,123.44,1
dépense,fonctionnement,269.74,1
dépense,fonctionnement,180.56,1
dépense,fonctionnement,523.06,1
dépense,fonctionnement,253.51,1
dépense,fonctionnement,455.99,1
dépense,fonctionnement,109.83,1
dépense,salaires,2383.57,1
dépense,salaires,1818.89,1
dépense,salaires,2131.9,1
dépense,salaires,2122.23,1
dépense,salaires,1978.38,1
dépense,salaires,2396.45,1
dépense,salaires,1953.41,1
dépense,salaires,1907.45,1
dépense,salaires,1650.57,1
dépense,salaires,2396.04,1
dépense,salaires,2077.8,1
dépense,salaires,1985.67,1
dépense,salaires,1758.5,1
dépense,salaires,2203.37,1
dépense,salaires,1790.61,1
dépense,salaires,1704.65,1
dépense,salaires,1500.2,1
dépense,salaires,2369.92,1
dépense,salaires,1916.7,1
dépense,salaires,1953.92,1
recette,billetterie,80.0,1
recette,billetterie,40.0,1
recette,billetterie,290.0,1
recette,billetterie,30.0,1
recette,billetterie,330.0,1
recette,billetterie,40.0,1
recette,billetterie,300.0,1
recette,billetterie,280.0,1
recette,billetterie,370.0,1
recette,billetterie,320.0,1
recette,billetterie,240.0,1
recette,billetterie,350.0,1
recette,billetterie,260.0,1
recette,billetterie,210.0,1
recette,billetterie,60.0,1
recette,billetterie,300.0,1
recette,billetterie,130.0,1
recette,billetterie,160.0,1
recette,billetterie,90.0,1
recette,billetterie,230.0,1
recette,billetterie,350.0,1
recette,billetterie,290.0,1
recette,billetterie,380.0,1
recette,billetterie,270.0,1
recette,billetterie,310.0,1
recette,billetterie,340.0,1
recette,billetterie,110.0,1
recette,billetterie,380.0,1
recette,billetterie,80.0,1
recette,billetterie,190.0,1
recette,billetterie,100.0,1
recette,billetterie,300.0,1
recette,billetterie,80.0,1
recette,billetterie,200.0,1
recette,billetterie,220.0,1
recette,marketing,530.42,1
recette,marketing,100.98,1
recette,marketing,470.56,1
recette,marketing,417.01,1
recette,marketing,175.8,1
recette,marketing,671.33,1
recette,marketing,371.18,1
recette,marketing,100.68,1
recette,marketing,461.93,1
recette,marketing,445.95,1
recette,marketing,506.85,1
recette,marketing,572.5,1
recette,marketing,280.97,1
recette,marketing,301.75,1
recette,marketing,100.54,1
recette,marketing,429.13,1
recette,marketing,330.23,1
recette,marketing,100.04,1
recette,marketing,431.65,1
recette,sponsoring,1900.0,1
recette,sponsoring,2300.0,1
recette,sponsoring,400.0,1
recette,sponsoring,1300.0,1
recette,sponsoring,500.0,1
recette,sponsoring,900.0,1
recette,sponsoring,2300.0,1
recette,sponsoring,500.0,1
