Equipe,Nom,Poste,Date de naissance,Taille,Poids
Agen,Anton PEIKRISHVILI,Pilier,18/09/1987,183,122
Agen,Dave RYAN,Pilier,21/04/1986,183,116
Agen,Giorgi TETRASHVILI,Pilier,31/08/1993,177,112
Agen,Kamaliele TUFELE,Pilier,11/10/1995,182,123
Agen,Malino VANAÏ,Pilier,04/05/1993,183,119
Agen,Morgan PHÉLIPPONNEAU,Pilier,05/09/1989,185,106
Agen,Walter DESMAISON,Pilier,18/10/1991,188,119
Agen,Clément MARTINEZ,Talonneur,14/03/1996,181,105
Agen,Marc BARTHOMEUF,Talonneur,19/07/1991,174,100
Agen,Paula NGAUAMO,Talonneur,19/02/1990,182,117
Agen,Adrian MOTOC,2ème ligne,11/07/1996,197,108
Agen,Andrés ZAFRA,2ème ligne,26/03/1996,197,116
Agen,Mickaël DE MARCO,2ème ligne,22/04/1989,195,134
Agen,Pierce PHILLIPS,2ème ligne,06/10/1992,203,119
Agen,Tom MURDAY,2ème ligne,27/04/1989,200,114
Agen,Dylan HAYES,3ème ligne,11/02/1994,194,114
Agen,Laurence PEARCE,3ème ligne,03/12/1990,192,120
Agen,Romain BRIATTE,3ème ligne,18/02/1993,194,105
Agen,Vincent FARRÉ,3ème ligne,06/06/1990,193,103
Agen,Hugo VERDU,Mêlée,24/10/1996,176,82
Agen,Paul ABADIE,Mêlée,28/07/1994,176,88
Agen,Xavier CHAUVEAU,Mêlée,14/10/1992,180,84
Agen,Raphaël LAGARDE,Ouverture,30/10/1988,182,92
Agen,Alban CONDUCHÉ,Centre,29/10/1996,190,102
Agen,Johann SADIE,Centre,23/01/1989,188,96
Agen,Jordan PULETUA,Centre,28/02/1990,193,105
Agen,Sam VAKA,Centre,26/10/1992,187,98
Agen,Benito MASILEVU,Ailier,07/10/1989,178,83
Agen,Julien JANÉ,Ailier,12/09/1989,186,100
Agen,Timilai ROKODURU,Ailier,21/01/1993,191,113
Agen,Valentin SAURS,Ailier,12/02/1995,182,82
Agen,JJ TAULAGI,Arrière,18/06/1993,180,90
Agen,Loris TOLOT,Arrière,03/03/1993,185,90
Agen,Mathieu LAMOULIE,Arrière,07/08/1990,184,93
Bayonne,Aretz IGUINIZ,Pilier,03/06/1983,188,114
Bayonne,Census JOHNSTON,Pilier,06/05/1981,189,130
Bayonne,Jean-Baptiste DE CLERCQ,Pilier,23/02/1994,183,115
Bayonne,Jon ZABALA,Pilier,26/11/1996,192,128
Bayonne,Luc MOUSSET,Pilier,03/04/1994,180,115
Bayonne,Swan CORMENIER,Pilier,10/01/1996,178,117
Bayonne,Toma'Akino TAUFA,Pilier,09/03/1995,180,125
Bayonne,Ugo BONIFACE,Pilier,21/07/1998,190,125
Bayonne,Viliamu AFATIA,Pilier,24/05/1990,189,124
Bayonne,Maxime DELONCA,Talonneur,29/04/1988,180,107
Bayonne,Maxime LAMOTHE,Talonneur,03/10/1998,184,109
Bayonne,Torsten VAN JAARSVELD,Talonneur,30/06/1987,175,106
Bayonne,Adam JAULHAC,2ème ligne,31/01/1988,198,125
Bayonne,Bastien BERGOUNIOUX,2ème ligne,18/06/1996,202,100
Bayonne,Edwin MAKA,2ème ligne,25/01/1993,196,140
Bayonne,Evrard Dion OULAI,2ème ligne,22/06/1993,198,125
Bayonne,Guillaume DUCAT,2ème ligne,20/05/1996,205,115
Bayonne,Mariano GALARZA,2ème ligne,11/12/1986,202,114
Bayonne,Pieter Jan VAN LILL,2ème ligne,04/12/1983,193,120
Bayonne,André GORIN,3ème ligne,30/11/1987,192,111
Bayonne,Antoine BATTUT,3ème ligne,01/01/1984,192,104
Bayonne,Armandt KOSTER,3ème ligne,20/01/1990,192,114
Bayonne,Arnaud DUPUTS,3ème ligne,26/07/1995,188,98
Bayonne,Baptiste HÉGUY,3ème ligne,11/05/1998,196,97
Bayonne,Benjamin COLLET,3ème ligne,11/04/1989,184,103
Bayonne,Filimo TAOFIFENUA,3ème ligne,15/10/1993,188,100
Bayonne,Jean MONRIBOT,3ème ligne,11/10/1987,183,99
Bayonne,Mat LUAMANU,3ème ligne,04/03/1988,193,127
Bayonne,Tom DARLET,3ème ligne,06/08/1996,188,104
Bayonne,Emmanuel SAUBUSSE,Mêlée,23/11/1989,181,84
Bayonne,Guillaume ROUET,Mêlée,13/08/1988,170,75
Bayonne,Michael RURU,Mêlée,03/12/1990,182,93
Bayonne,Brandon FAJARDO,Ouverture,25/06/1994,181,77
Bayonne,Manuel ORDAS,Ouverture,21/02/1998,186,83
Bayonne,Alofa ALOFA,Centre,12/03/1991,185,95
Bayonne,Callum WILSON,Centre,28/10/1990,182,95
Bayonne,Maile MAMAO,Centre,07/01/1996,187,117
Bayonne,Malietoa HINGANO,Centre,27/01/1992,180,95
Bayonne,Peyo MUSCARDITZ,Centre,02/01/1996,174,88
Bayonne,Romain BARTHÉLÉMY,Centre,25/01/1990,186,97
Bayonne,Arthur DUHAU,Ailier,09/08/1997,181,86
Bayonne,Djibril CAMARA,Ailier,22/06/1989,183,90
Bayonne,Sean ROBINSON,Ailier,02/11/1993,181,90
Bayonne,Aymeric LUC,Arrière,14/10/1997,180,76
Bayonne,Johannes Petrus GRAAFF,Arrière,10/09/1989,179,77
Bayonne,Julien TISSERON,Arrière,12/08/1995,182,82
Bordeaux,Jefferson POIROT,Pilier,01/11/1992,181,117
Bordeaux,Lasha TABIDZE,Pilier,04/07/1997,185,117
Bordeaux,Laurent DELBOULBÈS,Pilier,17/11/1986,181,106
Bordeaux,Lekso KAULASHVILI,Pilier,27/08/1992,187,120
Bordeaux,Peni RAVAI,Pilier,16/06/1990,185,119
Bordeaux,Thierry PAÏVA,Pilier,19/11/1995,184,125
Bordeaux,Vadim COBILAS,Pilier,30/07/1983,180,118
Bordeaux,Adrien PÉLISSIÉ,Talonneur,07/08/1990,181,110
Bordeaux,Clément MAYNADIER,Talonneur,11/10/1988,187,100
Bordeaux,Alexandre FLANQUART,2ème ligne,09/10/1989,204,120
Bordeaux,Cyril CAZEAUX,2ème ligne,10/02/1995,198,113
Bordeaux,Jandré MARAIS,2ème ligne,14/06/1989,198,118
Bordeaux,Kane DOUGLAS,2ème ligne,01/06/1989,202,123
Bordeaux,Masalosalo TUTAIA,2ème ligne,05/06/1984,204,125
Bordeaux,Afa AMOSA,3ème ligne,11/10/1990,187,112
Bordeaux,Alexandre ROUMAT,3ème ligne,27/06/1997,198,104
Bordeaux,Béka GORGADZE,3ème ligne,08/02/1996,189,105
Bordeaux,Cameron WOKI,3ème ligne,07/11/1998,196,103
Bordeaux,Mahamadou DIABY,3ème ligne,15/08/1990,188,105
Bordeaux,Marco TAULEIGNE,3ème ligne,30/08/1993,191,115
Bordeaux,Scott HIGGINBOTHAM,3ème ligne,05/09/1986,195,110
Bordeaux,Maxime LUCU,Mêlée,12/01/1993,177,79
Bordeaux,Yann LESGOURGUES,Mêlée,17/01/1991,174,71
Bordeaux,Ben BOTICA,Ouverture,07/10/1989,178,93
Bordeaux,Lucas MÉRET,Ouverture,30/01/1995,178,85
Bordeaux,Matthieu JALIBERT,Ouverture,06/11/1998,180,79
Bordeaux,Jean-Baptiste DUBIÉ,Centre,16/07/1989,181,85
Bordeaux,Rémi LAMERAT,Centre,14/01/1990,184,105
Bordeaux,Semi RADRADRA,Centre,13/06/1992,188,102
Bordeaux,Seta TAMANIVALU,Centre,23/07/1992,189,110
Bordeaux,Ulupano SEUTENI,Centre,09/12/1993,185,95
Bordeaux,Blair CONNOR,Ailier,29/09/1988,183,82
Bordeaux,Nicolas PLAZY,Ailier,17/05/1994,188,85
Bordeaux,Santiago CORDERO,Ailier,06/12/1993,177,83
Bordeaux,Geoffrey CROS,Arrière,08/03/1997,185,85
Bordeaux,Nans DUCUING,Arrière,06/11/1991,181,90
Bordeaux,Romain BUROS,Arrière,31/07/1997,187,91
Brive,Cody THOMAS,Pilier,01/03/1996,186,124
Brive,Hayden THOMPSON-STRINGER,Pilier,25/12/1994,190,119
Brive,James JOHNSTON,Pilier,06/03/1986,191,129
Brive,Karlen ASIESHVILI,Pilier,21/04/1987,180,118
Brive,Mesake DOGE,Pilier,01/04/1993,178,122
Brive,Simon-Pierre CHAUVAC,Pilier,23/03/1998,189,116
Brive,Soso BEKOSHVILI,Pilier,03/11/1993,180,116
Brive,François DA ROS,Talonneur,29/09/1983,179,104
Brive,Peniami Nasali NARISIA,Talonneur,10/06/1997,187,104
Brive,Thomas ACQUIER,Talonneur,21/11/1989,181,112
Brive,Jan UYS,2ème ligne,03/01/1994,195,120
Brive,Joe SNYMAN,2ème ligne,09/07/1986,200,112
Brive,Mitch LEES,2ème ligne,12/10/1988,196,120
Brive,Peet MARAIS,2ème ligne,31/10/1990,199,120
Brive,Richard FOURCADE,2ème ligne,04/04/1993,200,110
Brive,Victor LEBAS,2ème ligne,09/06/1993,193,108
Brive,Esteban ABADIE,3ème ligne,01/12/1997,188,95
Brive,Irakli TSKHADADZE,3ème ligne,01/08/1996,191,104
Brive,Kitione KAMIKAMICA,3ème ligne,27/04/1996,188,105
Brive,Matthieu VOISIN,3ème ligne,16/05/1996,193,104
Brive,Otar GIORGADZE,3ème ligne,02/03/1996,193,108
Brive,Saïd HIRÈCHE,3ème ligne,27/05/1985,183,102
Brive,So'otala FA'ASO'O,3ème ligne,02/10/1994,194,127
Brive,Steevy CERQUEIRA,3ème ligne,09/08/1993,206,114
Brive,David DELARUE,Mêlée,27/10/1996,190,85
Brive,Julien BLANC,Mêlée,04/10/1992,175,81
Brive,Quentin DELORD,Mêlée,10/02/1999,171,74
Brive,Vasil LOBZHANIDZE,Mêlée,14/10/1996,175,75
Brive,Enzo HERVÉ,Ouverture,13/10/1998,177,89
Brive,Thomas LARANJEIRA,Ouverture,05/05/1992,186,90
Brive,Alban RAMETTE,Centre,07/10/1998,188,91
Brive,Alex DUNBAR,Centre,23/04/1990,191,103
Brive,Arnaud MIGNARDI,Centre,01/11/1986,180,90
Brive,Guillaume GALLETIER,Centre,07/03/1997,178,98
Brive,Nico LEE,Centre,13/03/1994,180,89
Brive,Seva GALALA,Centre,29/01/1993,188,105
Brive,Stuart OLDING,Centre,11/03/1993,180,87
Brive,Axel MULLER,Ailier,25/11/1993,186,94
Brive,Franck ROMANET,Ailier,02/05/1986,178,89
Brive,Guillaume NAMY,Ailier,03/04/1989,182,83
Brive,Rory SCHOLES,Ailier,23/04/1993,186,95
Brive,Setareki BITUNIYATA,Ailier,12/08/1995,190,89
Brive,Joris JURAND,Arrière,11/11/1995,188,106
Brive,Rico BULIRUARUA,Arrière,23/01/1997,186,106
Castres,Antoine TICHIT,Pilier,13/06/1989,182,112
Castres,Daniel KOTZE,Pilier,28/03/1987,187,120
Castres,Karena WIHONGI,Pilier,29/09/1979,186,130
Castres,Marc CLERC,Pilier,09/06/1987,181,120
Castres,Matt TIERNEY,Pilier,04/07/1996,191,132
Castres,Paea FA'ANUNU,Pilier,04/11/1988,191,125
Castres,Tapu FALATEA,Pilier,12/12/1988,187,137
Castres,Tudor STROË,Pilier,06/09/1993,184,112
Castres,Wayan DE BENEDITTIS,Pilier,10/03/1999,185,107
Castres,Wilfrid HOUNKPATIN,Pilier,29/07/1991,192,132
Castres,Jody JENNEKER,Talonneur,10/04/1984,185,106
Castres,Kévin FIRMIN,Talonneur,20/04/1992,183,105
